TreatmentID;PeriodType;PeriodNo;Id;Name;Group;Role;Profit;ProfitTotal;Payment;PaymentTotal;black;red;choice;pick;ProfitTotalNow
3;payment;1;33;;1;;-6;-6;-6;267;10;10;A;black;-6
3;payment;1;70;;0;;30;30;30;309;10;10;A;red;30
3;payment;1;11;;0;;30;30;30;180;10;10;A;red;30
3;payment;1;56;;1;;30;30;30;255;10;10;A;red;30
3;payment;1;7;;1;;30;30;30;378;10;10;A;red;30
3;payment;1;57;;1;;-6;-6;-6;306;10;10;A;black;-6
3;payment;1;50;;0;;30;30;30;174;10;10;A;red;30
3;payment;1;23;;1;;-3;-3;-3;492;10;10;B;yellow;-3
3;payment;1;34;;1;;-6;-6;-6;207;10;10;A;black;-6
3;payment;1;40;;0;;-3;-3;-3;240;10;10;B;yellow;-3
3;payment;1;12;;1;;21;21;21;174;10;10;B;blue;21
3;payment;1;68;;1;;-3;-3;-3;210;10;10;B;yellow;-3
3;payment;1;4;;0;;-3;-3;-3;252;10;10;B;yellow;-3
3;payment;1;51;;1;;-6;-6;-6;261;10;10;A;black;-6
3;payment;1;43;;0;;-3;-3;-3;192;10;10;B;yellow;-3
3;payment;1;48;;1;;21;21;21;297;10;10;B;blue;21
3;payment;1;29;;1;;21;21;21;225;10;10;B;blue;21
3;payment;1;18;;0;;30;30;30;171;10;10;A;red;30
3;payment;1;16;;0;;-3;-3;-3;249;10;10;B;yellow;-3
3;payment;1;71;;1;;30;30;30;294;10;10;A;red;30
3;payment;1;67;;0;;21;21;21;231;10;10;B;blue;21
3;payment;1;44;;1;;-6;-6;-6;240;10;10;A;black;-6
3;payment;1;19;;1;;21;21;21;198;10;10;B;blue;21
3;payment;1;8;;1;;30;30;30;318;10;10;A;red;30
3;payment;1;22;;1;;-6;-6;-6;255;10;10;A;black;-6
3;payment;1;28;;1;;-6;-6;-6;351;10;10;A;black;-6
3;payment;1;37;;1;;-3;-3;-3;225;10;10;B;yellow;-3
3;payment;1;20;;1;;21;21;21;9;10;10;B;blue;21
3;payment;1;24;;0;;30;30;30;300;10;10;A;red;30
3;payment;1;15;;1;;-3;-3;-3;261;10;10;B;yellow;-3
3;payment;1;66;;1;;-6;-6;-6;78;10;10;A;black;-6
3;payment;1;36;;1;;21;21;21;249;10;10;B;blue;21
3;payment;1;3;;1;;-6;-6;-6;324;10;10;A;black;-6
3;payment;1;54;;1;;30;30;30;165;10;10;A;red;30
3;payment;1;13;;1;;30;30;30;246;10;10;A;red;30
3;payment;1;65;;1;;30;30;30;378;10;10;A;red;30
3;payment;1;53;;0;;-3;-3;-3;246;10;10;B;yellow;-3
3;payment;1;72;;0;;21;21;21;378;10;10;B;blue;21
3;payment;1;39;;1;;-6;-6;-6;192;10;10;A;black;-6
3;payment;1;58;;1;;-3;-3;-3;372;10;10;B;yellow;-3
3;payment;1;45;;1;;-3;-3;-3;147;10;10;B;yellow;-3
3;payment;1;26;;1;;30;30;30;327;10;10;A;red;30
3;payment;1;2;;0;;21;21;21;444;10;10;B;blue;21
3;payment;1;49;;0;;30;30;30;318;10;10;A;red;30
3;payment;1;62;;1;;30;30;30;351;10;10;A;red;30
3;payment;1;9;;1;;-3;-3;-3;330;10;10;B;yellow;-3
3;payment;1;35;;0;;21;21;21;345;10;10;B;blue;21
3;payment;1;14;;1;;-6;-6;-6;198;10;10;A;black;-6
3;payment;1;61;;0;;-6;-6;-6;261;10;10;A;black;-6
3;payment;1;10;;1;;-3;-3;-3;249;10;10;B;yellow;-3
3;payment;1;46;;1;;-6;-6;-6;282;10;10;A;black;-6
3;payment;1;1;;1;;30;30;30;303;10;10;A;red;30
3;payment;1;38;;1;;-6;-6;-6;246;10;10;A;black;-6
3;payment;1;47;;1;;30;30;30;282;10;10;A;red;30
3;payment;1;64;;0;;-6;-6;-6;189;10;10;A;black;-6
3;payment;1;55;;0;;30;30;30;249;10;10;A;red;30
3;payment;1;17;;0;;21;21;21;330;10;10;B;blue;21
3;payment;1;25;;0;;21;21;21;198;10;10;B;blue;21
3;payment;1;52;;1;;30;30;30;450;10;10;A;red;30
3;payment;1;41;;0;;-6;-6;-6;168;10;10;A;black;-6
3;payment;1;42;;0;;21;21;21;294;10;10;B;blue;21
3;payment;1;69;;0;;21;21;21;294;10;10;B;blue;21
3;payment;1;30;;1;;-6;-6;-6;342;10;10;A;black;-6
3;payment;1;6;;0;;-6;-6;-6;195;10;10;A;black;-6
3;payment;1;5;;0;;-3;-3;-3;126;10;10;B;yellow;-3
3;payment;1;21;;1;;30;30;30;276;10;10;A;red;30
3;payment;1;60;;0;;21;21;21;513;10;10;B;blue;21
3;payment;2;54;;1;;30;60;30;195;10;12;A;red;60
3;payment;2;37;;1;;-3;-6;-3;222;10;10;B;yellow;-6
3;payment;2;10;;1;;21;18;21;270;10;10;B;blue;18
3;payment;2;9;;1;;-3;-6;-3;327;10;10;B;yellow;-6
3;payment;2;72;;0;;21;42;21;399;10;10;B;blue;42
3;payment;2;8;;1;;30;60;30;348;10;12;A;red;60
3;payment;2;71;;1;;21;51;21;315;10;12;B;blue;51
3;payment;2;7;;1;;21;51;21;399;10;12;B;blue;51
3;payment;2;70;;0;;21;51;21;330;10;12;B;blue;51
3;payment;2;69;;0;;21;42;21;315;10;10;B;blue;42
3;payment;2;6;;0;;-6;-12;-6;189;12;10;A;black;-12
3;payment;2;5;;0;;30;27;30;156;10;10;A;red;27
3;payment;2;68;;1;;-3;-6;-3;207;10;10;B;yellow;-6
3;payment;2;4;;0;;21;18;21;273;10;10;B;blue;18
3;payment;2;67;;0;;30;51;30;261;10;10;A;red;51
3;payment;2;66;;1;;-6;-12;-6;72;12;10;A;black;-12
3;payment;2;3;;1;;21;15;21;345;12;10;B;blue;15
3;payment;2;65;;1;;30;60;30;408;10;12;A;red;60
3;payment;2;2;;0;;-3;18;-3;441;10;10;B;yellow;18
3;payment;2;1;;1;;-6;24;-6;297;10;12;A;black;24
3;payment;2;64;;0;;-6;-12;-6;183;12;10;A;black;-12
3;payment;2;12;;1;;21;42;21;195;10;10;B;blue;42
3;payment;2;61;;0;;30;24;30;291;12;10;A;red;24
3;payment;2;62;;1;;-3;27;-3;348;10;12;B;yellow;27
3;payment;2;13;;1;;30;60;30;276;10;12;A;red;60
3;payment;2;60;;0;;30;51;30;543;10;10;A;red;51
3;payment;2;14;;1;;30;24;30;228;12;10;A;red;24
3;payment;2;58;;1;;21;18;21;393;10;10;B;blue;18
3;payment;2;15;;1;;21;18;21;282;10;10;B;blue;18
3;payment;2;16;;0;;-3;-6;-3;246;10;10;B;yellow;-6
3;payment;2;57;;1;;-6;-12;-6;300;12;10;A;black;-12
3;payment;2;56;;1;;-6;24;-6;249;10;12;A;black;24
3;payment;2;17;;0;;-6;15;-6;324;10;10;A;black;15
3;payment;2;18;;0;;-3;27;-3;168;10;12;B;yellow;27
3;payment;2;55;;0;;-6;24;-6;243;10;12;A;black;24
3;payment;2;19;;1;;21;42;21;219;10;10;B;blue;42
3;payment;2;53;;0;;21;18;21;267;10;10;B;blue;18
3;payment;2;20;;1;;21;42;21;30;10;10;B;blue;42
3;payment;2;21;;1;;30;60;30;306;10;12;A;red;60
3;payment;2;11;;0;;-6;24;-6;174;10;12;A;black;24
3;payment;2;52;;1;;-6;24;-6;444;10;12;A;black;24
3;payment;2;50;;0;;30;60;30;204;10;12;A;red;60
3;payment;2;51;;1;;-6;-12;-6;255;12;10;A;black;-12
3;payment;2;22;;1;;30;24;30;285;12;10;A;red;24
3;payment;2;49;;0;;21;51;21;339;10;12;B;blue;51
3;payment;2;23;;1;;30;27;30;522;10;10;A;red;27
3;payment;2;48;;1;;-6;15;-6;291;10;10;A;black;15
3;payment;2;24;;0;;-6;24;-6;294;10;12;A;black;24
3;payment;2;47;;1;;-6;24;-6;276;10;12;A;black;24
3;payment;2;25;;0;;-3;18;-3;195;10;10;B;yellow;18
3;payment;2;46;;1;;-6;-12;-6;276;12;10;A;black;-12
3;payment;2;26;;1;;-6;24;-6;321;10;12;A;black;24
3;payment;2;45;;1;;21;18;21;168;10;10;B;blue;18
3;payment;2;28;;1;;30;24;30;381;12;10;A;red;24
3;payment;2;44;;1;;30;24;30;270;12;10;A;red;24
3;payment;2;29;;1;;-3;18;-3;222;10;10;B;yellow;18
3;payment;2;43;;0;;21;18;21;213;10;10;B;blue;18
3;payment;2;42;;0;;-3;18;-3;291;10;10;B;yellow;18
3;payment;2;30;;1;;-3;-9;-3;339;12;10;B;yellow;-9
3;payment;2;33;;1;;21;15;21;288;12;10;B;blue;15
3;payment;2;41;;0;;30;24;30;198;12;10;A;red;24
3;payment;2;34;;1;;-6;-12;-6;201;12;10;A;black;-12
3;payment;2;40;;0;;30;27;30;270;10;10;A;red;27
3;payment;2;39;;1;;-6;-12;-6;186;12;10;A;black;-12
3;payment;2;35;;0;;21;42;21;366;10;10;B;blue;42
3;payment;2;38;;1;;30;24;30;276;12;10;A;red;24
